"","kegg_code","scientific_name","common_name"
"68","ccad","Cervus canadensis","wapiti"
"69","ssc","Sus scrofa","pig"
"70","cfr","Camelus ferus","Wild Bactrian camel"
"71","cbai","Camelus bactrianus","Bactrian camel"
"72","cdk","Camelus dromedarius","Arabian camel"
"73","vpc","Vicugna pacos","alpaca"
"74","bacu","Balaenoptera acutorostrata scammoni","minke whale"
"75","lve","Lipotes vexillifer","Yangtze River dolphin"
"76","oor","Orcinus orca","killer whale"
"77","dle","Delphinapterus leucas","beluga whale"
"78","pcad","Physeter catodon","sperm whale"
"79","psiu","Phocoena sinus","vaquita"
"80","ecb","Equus caballus","horse"
"81","epz","Equus przewalskii","Przewalski's horse"
"82","eai","Equus asinus","ass"
"83","myb","Myotis brandtii","Brandt's bat"
"84","myd","Myotis davidii","David's myotis"
"85","mmyo","Myotis myotis","greater mouse-eared bat"
"86","mlf","Myotis lucifugus","little brown bat"
"87","mna","Miniopterus natalensis","Natal long-fingered bat"
"88","pkl","Pipistrellus kuhlii","Kuhl's pipistrelle"
"89","hai","Hipposideros armiger","great roundleaf bat"
"90","dro","Desmodus rotundus","common vampire bat"
"91","shon","Sturnira hondurensis","Sturnira hondurensis"
"92","ajm","Artibeus jamaicensis","Jamaican fruit-eating bat"
"93","pdic","Phyllostomus discolor","pale spear-nosed bat"
"94","phas","Phyllostomus hastatus","greater spear-nosed bat"
"95","mmf","Molossus molossus","Pallas's mastiff bat"
"96","rfq","Rhinolophus ferrumequinum","greater horseshoe bat"
"97","pale","Pteropus alecto","black flying fox"
"98","pgig","Pteropus giganteus","Indian flying fox"
"99","pvp","Pteropus vampyrus","large flying fox"
"100","ray","Rousettus aegyptiacus","Egyptian rousette"
"101","mjv","Manis javanica","Malayan pangolin"
"102","tod","Talpa occidentalis","Iberian mole"
"103","sara","Sorex araneus","European shrew"
"104","lav","Loxodonta africana","African savanna elephant"
"105","tmu","Trichechus manatus latirostris","Florida manatee"
"106","dnm","Dasypus novemcinctus","nine-banded armadillo"
"107","mdo","Monodelphis domestica","gray short-tailed opossum"
"108","gas","Gracilinanus agilis","agile gracile opossum"
"109","shr","Sarcophilus harrisii","Tasmanian devil"
"110","pcw","Phascolarctos cinereus","koala"
"111","oaa","Ornithorhynchus anatinus","platypus"
"112","gga","Gallus gallus","chicken"
"113","pcoc","Phasianus colchicus","Ring-necked pheasant"
"114","mgp","Meleagris gallopavo","turkey"
"115","cjo","Coturnix japonica","Japanese quail"
"116","nmel","Numida meleagris","helmeted guineafowl"
"117","apla","Anas platyrhynchos","mallard"
"118","acyg","Anser cygnoides domesticus","swan goose"
"119","aful","Aythya fuligula","tufted duck"
"120","tgu","Taeniopygia guttata","zebra finch"
"121","lsr","Lonchura striata domestica","Bengalese finch"
"122","scan","Serinus canaria","common canary"
"123","pmoa","Passer montanus","Eurasian tree sparrow"
"124","otc","Onychostruthus taczanowskii","white-rumped snowfinch"
"125","pruf","Pyrgilauda ruficollis","rufous-necked snowfinch"
"126","gfr","Geospiza fortis","medium ground-finch"
"127","fab","Ficedula albicollis","collared flycatcher"
"128","phi","Pseudopodoces humilis","Tibetan ground-tit"
"129","pmaj","Parus major","Great Tit"
"130","ccae","Cyanistes caeruleus","blue tit"
"131","ccw","Corvus cornix","hooded crow"
"132","etl","Empidonax traillii","willow flycatcher"
"133","zab","Zonotrichia albicollis","white-throated sparrow"
"134","fpg","Falco peregrinus","peregrine falcon"
"135","fch","Falco cherrug","Saker falcon"
"136","clv","Columba livia","rock pigeon"
"137","egz","Egretta garzetta","little egret"
"138","nni","Nipponia nippon","crested ibis"
"139","acun","Athene cunicularia","burrowing owl"
"140","tala","Tyto alba","Barn owl"
"141","padl","Pygoscelis adeliae","Adelie penguin"
"142","achc","Aquila chrysaetos chrysaetos","golden eagle"
"143","aam","Apteryx mantelli mantelli","North Island brown kiwi"
"144","arow","Apteryx rowi","Okarito brown kiwi"
"145","npd","Nothoprocta perdicaria","Chilean tinamou"
"146","dne","Dromaius novaehollandiae","emu"
"147","asn","Alligator sinensis","Chinese alligator"
"148","amj","Alligator mississippiensis","American alligator"
"149","cpoo","Crocodylus porosus","Australian saltwater crocodile"
"150","ggn","Gavialis gangeticus","Gharial"
"151","pss","Pelodiscus sinensis","Chinese soft-shelled turtle"
"152","cmy","Chelonia mydas","green sea turtle"
"153","cpic","Chrysemys picta","western painted turtle"
"154","tst","Trachemys scripta elegans","red-eared slider"
"155","cabi","Chelonoidis abingdonii","Abingdon island giant tortoise"
"156","mrv","Mauremys reevesii","Reeves's turtle"
"157","acs","Anolis carolinensis","green anole"
"158","pvt","Pogona vitticeps","central bearded dragon"
"159","sund","Sceloporus undulatus","fence lizard"
"160","pbi","Python bivittatus","Burmese python"
"161","pmur","Protobothrops mucrosquamatus","Taiwan habu"
"162","tsr","Thamnophis sirtalis","common garter snake"
"163","pgut","Pantherophis guttatus","corn snake"
"164","vko","Varanus komodoensis","Komodo dragon"
"165","pmua","Podarcis muralis","common wall lizard"
"166","zvi","Zootoca vivipara","common lizard"
"167","gja","Gekko japonicus","Schlegel's Japanese gecko"
"168","xla","Xenopus laevis","African clawed frog"
"169","xtr","Xenopus tropicalis","tropical clawed frog"
"170","npr","Nanorana parkeri","Xizang Plateau frog"
"171","rtem","Rana temporaria","common frog"
"172","bbuf","Bufo bufo","common toad"
"173","bgar","Bufo gargarizans","Asiatic toad"
"174","dre","Danio rerio","zebrafish"
"175","srx","Sinocyclocheilus rhinocerous","Sinocyclocheilus rhinocerous"
"176","sanh","Sinocyclocheilus anshuiensis","Sinocyclocheilus anshuiensis"
"177","sgh","Sinocyclocheilus grahami","golden-line barbel"
"178","ccar","Cyprinus carpio","common carp"
"179","caua","Carassius auratus","goldfish"
"180","pprm","Pimephales promelas","fathead minnow"
"181","ipu","Ictalurus punctatus","channel catfish"
"182","phyp","Pangasianodon hypophthalmus","striped catfish"
"183","smeo","Silurus meridionalis","southern catfish"
"184","tfd","Tachysurus fulvidraco","yellow catfish"
"185","amex","Astyanax mexicanus","Mexican tetra"
"186","eee","Electrophorus electricus","electric eel"
"187","tru","Takifugu rubripes","torafugu"
"188","tng","Tetraodon nigroviridis","spotted green pufferfish"
"189","lco","Larimichthys crocea","large yellow croaker"
"190","ncc","Notothenia coriiceps","black rockcod"
"191","cgob","Cottoperca gobio","Cottoperca gobio"
"192","ely","Epinephelus lanceolatus","giant grouper"
"193","plep","Plectropomus leopardus","leopard coralgrouper"
"194","sluc","Sander lucioperca","pikeperch"
"195","ecra","Etheostoma cragini","Arkansas darter"
"196","pflv","Perca flavescens","yellow perch"
"197","gat","Gasterosteus aculeatus","three-spined stickleback"
"198","ppug","Pungitius pungitius","ninespine stickleback"
"199","msam","Micropterus salmoides","largemouth bass"
"200","cud","Cheilinus undulatus","humphead wrasse"
"201","mze","Maylandia zebra","zebra mbuna"
"202","onl","Oreochromis niloticus","Nile tilapia"
"203","oau","Oreochromis aureus","blue tilapia"
"204","ola","Oryzias latipes","Japanese medaka"
"205","oml","Oryzias melastigma","Indian medaka"
"206","xma","Xiphophorus maculatus","southern platyfish"
"207","xco","Xiphophorus couchianus","Monterrey platyfish"
"208","xhe","Xiphophorus hellerii","green swordtail"
"209","pret","Poecilia reticulata","guppy"
"210","pfor","Poecilia formosa","Amazon molly"
"211","plai","Poecilia latipinna","sailfin molly"
"212","pmei","Poecilia mexicana","shortfin molly"
"213","gaf","Gambusia affinis","western mosquitofish"
"214","cvg","Cyprinodon variegatus","sheepshead minnow"
"215","ctul","Cyprinodon tularosa","White Sands pupfish"
"216","gmu","Girardinichthys multiradiatus","darkedged splitfin"
"217","nfu","Nothobranchius furzeri","turquoise killifish"
"218","kmr","Kryptolebias marmoratus","mangrove rivulus"
"219","alim","Austrofundulus limnaeus","annual killifish"
"220","nwh","Nematolebias whitei","Rio pearlfish"
"221","aoce","Amphiprion ocellaris","clown anemonefish"
"222","csem","Cynoglossus semilaevis","tongue sole"
"223","pov","Paralichthys olivaceus","Japanese flounder"
"224","ssen","Solea senegalensis","Senegalese sole"
"225","hhip","Hippoglossus hippoglossus","Atlantic halibut"
"226","lcf","Lates calcarifer","barramundi perch"
"227","sdu","Seriola dumerili","greater amberjack"
"228","slal","Seriola lalandi dorsalis","Yellowtail amberjack"
"229","xgl","Xiphias gladius","swordfish"
"230","hcq","Hippocampus comes","tiger tail seahorse"
"231","bpec","Boleophthalmus pectinirostris","great blue-spotted mudskipper"
"232","malb","Monopterus albus","swamp eel"
"233","sasa","Salmo salar","Atlantic salmon"
"234","otw","Oncorhynchus tshawytscha","Chinook salmon"
"235","omy","Oncorhynchus mykiss","rainbow trout"
"236","ogo","Oncorhynchus gorbuscha","pink salmon"
"237","one","Oncorhynchus nerka","sockeye salmon"
"238","salp","Salvelinus sp. IW2-2015","Arctic char"
"239","snh","Salvelinus namaycush","lake trout"
"240","els","Esox lucius","northern pike"
"241","sfm","Scleropages formosus","Asian bonytongue"
"242","pki","Paramormyrops kingsleyae","Paramormyrops kingsleyae"
"243","aang","Anguilla anguilla","European eel"
"244","loc","Lepisosteus oculatus","spotted gar"
"245","pspa","Polyodon spathula","Mississippi paddlefish"
"246","arut","Acipenser ruthenus","sterlet"
"247","lcm","Latimeria chalumnae","coelacanth"
"248","cmk","Callorhinchus milii","elephant shark"
"249","rtp","Rhincodon typus","whale shark"
"250","bfo","Branchiostoma floridae","Florida lancelet"
"251","bbel","Branchiostoma belcheri","Belcher's lancelet"
"252","cin","Ciona intestinalis","yellow sea squirt"
"253","sclv","Styela clava","leathery sea squirt"
"254","spu","Strongylocentrotus purpuratus","purple sea urchin"
"255","aplc","Acanthaster planci","crown-of-thorns starfish"
"256","sko","Saccoglossus kowalevskii","acorn worm"
"257","dme","Drosophila melanogaster","fruit fly"
"258","der","Drosophila erecta","Drosophila erecta"
"259","dse","Drosophila sechellia","Drosophila sechellia"
"260","dsi","Drosophila simulans","Drosophila simulans"
"261","dya","Drosophila yakuba","Drosophila yakuba"
"262","dan","Drosophila ananassae","Drosophila ananassae"
"263","dsr","Drosophila serrata","Drosophila serrata"
"264","dpo","Drosophila pseudoobscura pseudoobscura","Drosophila pseudoobscura pseudoobscura"
"265","dpe","Drosophila persimilis","Drosophila persimilis"
"266","dmn","Drosophila miranda","Drosophila miranda"
"267","dwi","Drosophila willistoni","Drosophila willistoni"
"268","dgr","Drosophila grimshawi","Drosophila grimshawi"
"269","dmo","Drosophila mojavensis","Drosophila mojavensis"
"270","daz","Drosophila arizonae","Drosophila arizonae"
"271","dnv","Drosophila navojoa","Drosophila navojoa"
"272","dhe","Drosophila hydei","Drosophila hydei"
"273","dvi","Drosophila virilis","Drosophila virilis"
"274","ccat","Ceratitis capitata","Mediterranean fruit fly"
"275","bod","Bactrocera oleae","olive fruit fly"
"276","mde","Musca domestica","house fly"
"277","scac","Stomoxys calcitrans","stable fly"
"278","lcq","Lucilia cuprina","Australian sheep blowfly"
"279","aga","Anopheles gambiae","malaria mosquito"
"280","acoz","Anopheles coluzzii","Anopheles coluzzii"
"281","aara","Anopheles arabiensis","Anopheles arabiensis"
"282","aag","Aedes aegypti","yellow fever mosquito"
"283","aalb","Aedes albopictus","Asian tiger mosquito"
"284","cqu","Culex quinquefasciatus","southern house mosquito"
"285","cpii","Culex pipiens pallens","Northern house mosquito"
"286","cns","Contarinia nasturtii","swede midge"
"287","ame","Apis mellifera","honey bee"
"288","acer","Apis cerana","Asiatic honeybee"
"289","alab","Apis laboriosa","Himalayan honeybee"
"290","bim","Bombus impatiens","common eastern bumble bee"
"291","bbif","Bombus bifarius","two-form bumblebee"
"292","bvk","Bombus vosnesenskii","yellow-faced bumblebee"
"293","bvan","Bombus vancouverensis nearcticus","Bombus vancouverensis nearcticus"
"294","bter","Bombus terrestris","buff-tailed bumblebee"
"295","bpyo","Bombus pyrosoma","Bombus pyrosoma"
"296","ccal","Ceratina calcarata","carpenter bee"
"297","obb","Osmia bicornis bicornis","red mason bee"
"298","mgen","Megalopta genalis","Megalopta genalis"
"299","nmea","Nomia melanderi","Alkali bee"
"300","cgig","Colletes gigas","Colletes gigas"
"301","soc","Solenopsis invicta","red fire ant"
"302","mpha","Monomorium pharaonis","pharaoh ant"
"303","aec","Acromyrmex echinatior","Panamanian leafcutter ant"
"304","acep","Atta cephalotes","leaf cutting ant"
"305","pbar","Pogonomyrmex barbatus","red harvester ant"
"306","vem","Vollenhovia emeryi","Vollenhovia emeryi"
"307","hst","Harpegnathos saltator","Jerdon's jumping ant"
"308","dqu","Dinoponera quadriceps","Dinoponera quadriceps"
"309","cfo","Camponotus floridanus","Florida carpenter ant"
"310","fex","Formica exsecta","narrow-headed ant"
"311","lhu","Linepithema humile","Argentine ant"
"312","pgc","Pseudomyrmex gracilis","graceful twig ant"
"313","obo","Ooceraea biroi","clonal raider ant"
"314","pcf","Polistes canadensis","Polistes canadensis"
"315","pfuc","Polistes fuscatus","common paper wasp"
"316","vps","Vespula pensylvanica","western yellowjacket"
"317","nvi","Nasonia vitripennis","jewel wasp"
"318","csol","Ceratosolen solmsi marchali","fig wasp"
"319","tpre","Trichogramma pretiosum","Trichogramma pretiosum"
"320","mdl","Microplitis demolitor","Microplitis demolitor"
"321","cglo","Cotesia glomerata","Cotesia glomerata"
"322","fas","Fopius arisanus","Fopius arisanus"
"323","dam","Diachasma alloeum","Diachasma alloeum"
"324","agif","Aphidius gifuensis","Aphidius gifuensis"
"325","ccin","Cephus cinctus","wheat stem sawfly"
"326","tca","Tribolium castaneum","red flour beetle"
"327","dpa","Dendroctonus ponderosae","mountain pine beetle"
"328","soy","Sitophilus oryzae","rice weevil"
"329","atd","Aethina tumida","small hive beetle"
"330","cset","Coccinella septempunctata","seven-spotted ladybird"
"331","agb","Anoplophora glabripennis","Asian longhorned beetle"
"332","ldc","Leptinotarsa decemlineata","Colorado potato beetle"
"333","nvl","Nicrophorus vespilloides","burying beetle"
"334","apln","Agrilus planipennis","emerald ash borer"
"335","ppyr","Photinus pyralis","common eastern firefly"
"336","otu","Onthophagus taurus","bull-headed dung beetle"
"337","bmor","Bombyx mori","domestic silkworm"
"338","bman","Bombyx mandarina","wild silkworm"
"339","msex","Manduca sexta","tobacco hornworm"
"340","dpl","Danaus plexippus","monarch butterfly"
"341","bany","Bicyclus anynana","squinting bush brown"
"342","pmac","Papilio machaon","common yellow swallowtail"
"343","ppot","Papilio polytes","common Mormon"
"344","pxu","Papilio xuthus","Asian swallowtail"
"345","prap","Pieris rapae","cabbage white"
"346","zce","Zerene cesonia","dogface butterfly"
"347","haw","Helicoverpa armigera","cotton bollworm"
"348","tnl","Trichoplusia ni","cabbage looper"
"349","sliu","Spodoptera litura","tobacco cutworm"
"350","ofu","Ostrinia furnacalis","Asian corn borer"
"351","pxy","Plutella xylostella","diamondback moth"
"352","api","Acyrthosiphon pisum","pea aphid"
"353","dnx","Diuraphis noxia","Russian wheat aphid"
"354","ags","Aphis gossypii","cotton aphid"
"355","rmd","Rhopalosiphum maidis","corn leaf aphid"
"356","btab","Bemisia tabaci","sweet potato whitefly"
"357","dci","Diaphorina citri","Asian citrus psyllid"
"358","clec","Cimex lectularius","bed bug"
"359","hhal","Halyomorpha halys","brown marmorated stink bug"
"360","nlu","Nilaparvata lugens","brown planthopper"
"361","phu","Pediculus humanus corporis","human body louse"
"362","foc","Frankliniella occidentalis","western flower thrips"
"363","zne","Zootermopsis nevadensis","dampwood termite"
"364","csec","Cryptotermes secundus","drywood termite"
"365","fcd","Folsomia candida","Folsomia candida"
"366","dpx","Daphnia pulex","common water flea"
"367","dmk","Daphnia magna","water flea"
"368","pvm","Penaeus vannamei","Pacific white shrimp"
"369","pja","Penaeus japonicus","kuruma prawn"
"370","pchn","Penaeus chinensis","fleshy prawn"
"371","hame","Homarus americanus","American lobster"
"372","pcla","Procambarus clarkii","red swamp crayfish"
"373","ptru","Portunus trituberculatus","swimming crab"
"374","hazt","Hyalella azteca","Hyalella azteca"
"375","eaf","Eurytemora affinis","Eurytemora affinis"
"376","isc","Ixodes scapularis","black-legged tick"
"377","dsv","Dermacentor silvarum","Dermacentor silvarum"
"378","rsan","Rhipicephalus sanguineus","brown dog tick"
"379","rmp","Rhipicephalus microplus","southern cattle tick"
"380","vde","Varroa destructor","honeybee mite"
"381","vja","Varroa jacobsoni","Varroa jacobsoni"
"382","tut","Tetranychus urticae","two-spotted spider mite"
"383","dpte","Dermatophagoides pteronyssinus","European house dust mite"
"384","dfr","Dermatophagoides farinae","American house dust mite"
"385","cscu","Centruroides sculpturatus","bark scorpion"
"386","ptep","Parasteatoda tepidariorum","common house spider"
"387","sdm","Stegodyphus dumicola","Stegodyphus dumicola"
"388","cel","Caenorhabditis elegans","nematode"
"389","cbr","Caenorhabditis briggsae","nematode"
"390","bmy","Brugia malayi","filaria"
"391","loa","Loa loa","eye worm"
"392","nai","Necator americanus","New World hookworm"
"393","tsp","Trichinella spiralis","Trichinella spiralis"
"394","hro","Helobdella robusta","Helobdella robusta"
"395","lgi","Lottia gigantea","owl limpet"
"396","pcan","Pomacea canaliculata","golden apple snail"
"397","bgt","Biomphalaria glabrata","bloodfluke planorb"
"398","gae","Gigantopelta aegis","peltospirid snail"
"399","hrf","Haliotis rufescens","red abalone"
"400","hrj","Haliotis rubra","blacklip abalone"
"401","crg","Crassostrea gigas","Pacific oyster"
"402","myi","Mizuhopecten yessoensis","Yesso scallop"
"403","pmax","Pecten maximus","king scallop"
"404","mmer","Mercenaria mercenaria","northern quahog"
"405","obi","Octopus bimaculoides","California two-spot octopus"
"406","osn","Octopus sinensis","East Asian common octopus"
"407","lak","Lingula anatina","Lingula anatina"
"408","smm","Schistosoma mansoni","Schistosoma mansoni"
"409","shx","Schistosoma haematobium","urinary blood fluke"
"410","ovi","Opisthorchis viverrini","Southeast Asian liver fluke"
"411","egl","Echinococcus granulosus","hydatid tapeworm"
"412","nve","Nematostella vectensis","starlet sea anemone"
"413","epa","Exaiptasia diaphana","Aiptasia"
"414","aten","Actinia tenebrosa","Australian red waratah sea anemone"
"415","adf","Acropora digitifera","stony coral"
"416","amil","Acropora millepora","Acropora millepora"
"417","pdam","Pocillopora damicornis","lace coral"
"418","spis","Stylophora pistillata","Smooth Cauliflower Coral"
"419","dgt","Dendronephthya gigantea","soft corals"
"420","xen","Xenia sp. Carnegie-2017","soft corals"
"421","hmg","Hydra vulgaris","swiftwater hydra"
"422","tad","Trichoplax adhaerens","placozoan"
"423","aqu","Amphimedon queenslandica","sponge"
"424","ath","Arabidopsis thaliana","thale cress"
"425","aly","Arabidopsis lyrata","lyrate rockcress"
"426","crb","Capsella rubella","pink shepherd's-purse"
"427","csat","Camelina sativa","false flax"
"428","eus","Eutrema salsugineum","saltwater cress"
"429","brp","Brassica rapa","field mustard"
"430","bna","Brassica napus","rape"
"431","boe","Brassica oleracea","wild cabbage"
"432","rsz","Raphanus sativus","radish"
"433","thj","Tarenaya hassleriana","spider flower"
"434","cpap","Carica papaya","papaya"
"435","cit","Citrus sinensis","Valencia orange"
"436","cic","Citrus clementina","mandarin orange"
"437","pvy","Pistacia vera","pistachio"
"438","minc","Mangifera indica","mango"
"439","tcc","Theobroma cacao","cacao"
"440","gra","Gossypium raimondii","Gossypium raimondii"
"441","ghi","Gossypium hirsutum","upland cotton"
"442","gab","Gossypium arboreum","tree cotton"
"443","dzi","Durio zibethinus","durian"
"444","egr","Eucalyptus grandis","rose gum"
"445","gmx","Glycine max","soybean"
"446","gsj","Glycine soja","wild soybean"
"447","pvu","Phaseolus vulgaris","common bean"
"448","vra","Vigna radiata","mung bean"
"449","var","Vigna angularis","adzuki bean"
"450","vun","Vigna unguiculata","cowpea"
"451","ccaj","Cajanus cajan","pigeon pea"
"452","aprc","Abrus precatorius","Indian licorice"
"453","mtr","Medicago truncatula","barrel medic"
"454","cam","Cicer arietinum","chickpea"
"455","lja","Lotus japonicus","Lotus japonicus"
"456","adu","Arachis duranensis","Arachis duranensis"
"457","aip","Arachis ipaensis","Arachis ipaensis"
"458","ahf","Arachis hypogaea","peanut"
"459","lang","Lupinus angustifolius","narrow-leaved blue lupine"
"460","fve","Fragaria vesca","woodland strawberry"
"461","rcn","Rosa chinensis","China rose"
"462","pper","Prunus persica","peach"
"463","pmum","Prunus mume","Japanese apricot"
"464","pavi","Prunus avium","sweet cherry"
"465","pdul","Prunus dulcis","almond"
"466","mdm","Malus domestica","apple"
"467","pxb","Pyrus x bretschneideri","Chinese white pear"
"468","zju","Ziziphus jujuba","Chinese jujube"
"469","mnt","Morus notabilis","Morus notabilis"
"470","csv","Cucumis sativus","cucumber"
"471","cmo","Cucumis melo","muskmelon"
"472","bhj","Benincasa hispida","wax gourd"
"473","mcha","Momordica charantia","bitter melon"
"474","cmax","Cucurbita maxima","winter squash"
"475","cmos","Cucurbita moschata","crookneck pumpkin"
"476","cpep","Cucurbita pepo subsp. pepo","vegetable marrow"
"477","rcu","Ricinus communis","castor bean"
"478","jcu","Jatropha curcas","Barbados nut"
"479","hbr","Hevea brasiliensis","rubber tree"
"480","mesc","Manihot esculenta","cassava"
"481","pop","Populus trichocarpa","black cottonwood"
"482","peu","Populus euphratica","Euphrates poplar"
"483","palz","Populus alba","white poplar"
"484","jre","Juglans regia","English walnut"
"485","qsu","Quercus suber","cork oak"
"486","qlo","Quercus lobata","valley oak"
"487","twl","Tripterygium wilfordii","thunder duke vine"
"488","vvi","Vitis vinifera","wine grape"
"489","vri","Vitis riparia","riverbank grape"
"490","sly","Solanum lycopersicum","tomato"
"491","spen","Solanum pennellii","Solanum pennellii"
"492","sot","Solanum tuberosum","potato"
"493","cann","Capsicum annuum","peppers"
"494","nta","Nicotiana tabacum","common tobacco"
"495","nsy","Nicotiana sylvestris","wood tobacco"
"496","nto","Nicotiana tomentosiformis","Nicotiana tomentosiformis"
"497","nau","Nicotiana attenuata","coyote tobacco"
"498","ini","Ipomoea nil","Japanese morning glory"
"499","itr","Ipomoea triloba","trilobed morning glory"
"500","sind","Sesamum indicum","sesame"
"501","oeu","Olea europaea var. sylvestris","wild olive"
"502","egt","Erythranthe guttata","spotted monkey flower"
"503","sspl","Salvia splendens","scarlet sage"
"504","han","Helianthus annuus","common sunflower"
"505","ecad","Erigeron canadensis","horseweed"
"506","lsv","Lactuca sativa","garden lettuce"
"507","ccav","Cynara cardunculus var. scolymus","artichoke"
"508","dcr","Daucus carota","carrot"
"509","csin","Camellia sinensis","tea plant"
"510","bvg","Beta vulgaris","sugar beet"
"511","soe","Spinacia oleracea","spinach"
"512","cqi","Chenopodium quinoa","quinoa"
"513","nnu","Nelumbo nucifera","sacred lotus"
"514","ming","Macadamia integrifolia","macadamia nut"
"515","tss","Telopea speciosissima","New South Wales waratah"
"516","psom","Papaver somniferum","opium poppy"
"517","ncol","Nymphaea colorata","blue-petal water lily"
"518","osa","Oryza sativa japonica","RefSeq"
"519","dosa","Oryza sativa japonica","RAPDB"
"520","obr","Oryza brachyantha","malo sina"
"521","bdi","Brachypodium distachyon","stiff brome"
"522","ats","Aegilops tauschii","wheat D"
"523","tdc","Triticum dicoccoides","wild emmer wheat"
"524","taes","Triticum aestivum","bread wheat"
"525","sbi","Sorghum bicolor","sorghum"
"526","zma","Zea mays","maize"
"527","sita","Setaria italica","foxtail millet"
"528","svs","Setaria viridis","green foxtail"
"529","pvir","Panicum virgatum","switchgrass"
"530","phai","Panicum hallii","Hall's panicgrass"
"531","pda","Phoenix dactylifera","date palm"
"532","egu","Elaeis guineensis","African oil palm"
"533","mus","Musa acuminata","wild Malaysian banana"
"534","dct","Dendrobium catenatum","Dendrobium catenatum"
"535","peq","Phalaenopsis equestris","Phalaenopsis equestris"
"536","aof","Asparagus officinalis","garden asparagus"
"537","atr","Amborella trichopoda","Amborella trichopoda"
"538","smo","Selaginella moellendorffii","Selaginella moellendorffii"
"539","ppp","Physcomitrium patens","spreading earthmoss"
"540","cre","Chlamydomonas reinhardtii","Chlamydomonas reinhardtii"
"541","vcn","Volvox carteri f. nagariensis","Volvox carteri f. nagariensis"
"542","mng","Monoraphidium neglectum","Monoraphidium neglectum"
"543","csl","Coccomyxa subellipsoidea","Coccomyxa subellipsoidea"
"544","cvr","Chlorella variabilis","Chlorella variabilis"
"545","apro","Auxenochlorella protothecoides","Auxenochlorella protothecoides"
"546","olu","Ostreococcus lucimarinus","Ostreococcus lucimarinus"
"547","ota","Ostreococcus tauri","Ostreococcus tauri"
