Total protein number combining all batches: 1248
  In any 2 batche(s): 606
  In any 1 batche(s): 642
Batch-specific protein numbers:
  batch1: 311
  batch2: 331

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
SJPG0157840.003	cu|SUPV3L1_P561R|snp	SUPV3L1|uc010qjd.1|P561R|chr10:70968505-70968505.C_G	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	22.95	247191.082053619	229355.481223621	238319.271514517	232086.812335454	262993.597393119	312292.242151878	208268.406946796	267629.794138181	153492.111801385	212525.49434504
SJPG0100873.001	sp|Q01105|SET_HUMAN	Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3	SET	-	-	O	-	O	batch1	3	2	2	3.10	390983.707933379	816801.979076804	839018.742332218	651666.958384692	350417.128259159	672128.532964029	799029.805612001	633466.647850965	770445.863918764	650445.763462143	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0143858.001	cu|KIF15_L1109M|snp	KIF15|uc010hiq.3|L1109M|chr3:44884647-44884647.C_A	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	14.75	185663.916563975	76238.1898811026	232995.53371821	218868.526609054	182167.503856418	284610.097478285	123526.220562991	248866.525295665	71245.2646869702	63911.7438009641
SJPG0102577.003	tr|A0A291NFE5|A0A291NFE5_HUMAN	BTB domain protein OS=Homo sapiens OX=9606 GN=KIAA1107 PE=2 SV=1	KIAA1107	-	-	-	-	-	batch1	2	1	0	0.55	5423855.22217786	5013282.19350233	5023136.33207835	4951121.9594896	4353695.35812049	4248991.81304008	5971673.45081046	4831568.78644512	5331238.04542778	4456438.65948032	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0110912.001	sp|P49454|CENPF_HUMAN	Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3	CENPF	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	0.42	261340.739265097	140369.240928831	68128.4411452647	54318.1904988165	91567.6377355902	69129.7501776234	45209.509265757	62095.4941103669	59324.1924481188	83631.8849834124
SJPG0102660.001	sp|Q9H467|CUED2_HUMAN	CUE domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CUEDC2 PE=1 SV=1	CUEDC2	-	-	-	-	-	batch1	1	1	1	9.76	143046.114633194	166474.214161667	101146.235320031	159752.815353162	93519.1360128667	107838.883867625	94439.8289285535	134142.961213207	128079.728472851	115658.397543496	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0103336.001	sp|P35658|NU214_HUMAN	Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2	NUP214	-	-	-	-	O	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.67	293062.317028505	238947.78180256	278894.020746741	262358.669459209	313996.891431078	238934.200000446	230665.386576754	231468.016633551	288620.186243839	267608.166321232
SJPG0102385.001	sp|Q99460|PSMD1_HUMAN	26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2	PSMD1	-	-	-	-	-	batch1	1	1	0	2.41	216631.141791593	291422.780465377	278498.712447991	285449.064340307	201176.093080738	265553.311702633	264140.074260878	266635.262115078	271383.081897864	309277.263838082	batch2	1	1	0	2.41	214878.916135127	310107.121308817	285210.465641515	223121.377789067	250289.239023681	239320.13091257	221404.203893333	231105.687694515	288051.047595646	292997.764190464
SJPG0106690.001	sp|Q9UPT8|ZC3H4_HUMAN	Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens OX=9606 GN=ZC3H4 PE=1 SV=3	ZC3H4	-	-	-	-	-	batch1	1	1	0	0.77	232432.682452302	296271.603883989	235487.464079976	296513.286618435	234540.926676847	286957.282334957	238930.466138715	296283.303352976	248309.116152085	296873.999460734	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0102874.001	sp|Q9H4L5|OSBL3_HUMAN	Oxysterol-binding protein-related protein 3 OS=Homo sapiens OX=9606 GN=OSBPL3 PE=1 SV=1	OSBPL3	-	-	-	-	-	batch1	2	2	0	1.92	145915.157060655	125416.228342552	117620.884723855	119649.300075354	161827.534496798	110005.749137947	121547.985616343	113845.285205899	118896.850997533	109219.488797532	batch2	1	1	0	1.92	113314.687885797	90870.1689646003	120138.620458589	104307.887237104	101784.872209156	115083.136959651	54589.0872110111	89177.7679239179	71840.9156256815	73761.5763518087
SJPG0110665.001	sp|P16499|PDE6A_HUMAN	Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha OS=Homo sapiens OX=9606 GN=PDE6A PE=1 SV=4	PDE6A	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.28	438562.162627382	368949.583162768	548954.938701918	361529.900836822	410838.083829234	399842.390350183	379145.271496966	314148.763512073	344704.67656821	335215.073918202
SJPG0101899.001	sp|Q9Y2W1|TR150_HUMAN	Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2	THRAP3	-	-	-	-	-	batch1	45	13	13	8.17	1244219.63534118	1236023.53451501	1085966.86926659	1135254.2744656	1213833.09811093	1174260.51289432	1111073.10463234	1110333.29847044	1131874.49135654	1202050.36699414	batch2	38	11	11	8.17	1324825.07894685	1339290.03532231	1283137.21179144	1270011.42350876	1283378.95559836	1235538.58738746	1239281.82062891	1222249.00269781	1273945.34574065	1310996.57151075
SJPG0100632.001	sp|P15121|ALDR_HUMAN	Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3	AKR1B1	-	-	-	-	-	batch1	2	1	1	2.53	164724.579271847	440468.798424202	223998.966921965	624811.902876743	174608.501762347	117034.194250107	593672.119511524	535573.289225926	406532.964390674	131745.929707308	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100021.001	sp|P49006|MRP_HUMAN	MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2	MARCKSL1	-	-	-	-	-	batch1	15	2	2	11.28	2557794.65796152	905359.089158904	681416.645046593	820505.399041488	2147425.19742466	976391.063511527	643305.337584615	844916.400626873	809996.909592635	888356.91427347	batch2	26	2	2	11.28	1542716.8237299	609973.558982774	970236.278167118	1234347.33160475	1448067.13486765	856930.569023758	1327953.01737785	1097065.12803128	665901.586015263	608894.473038301
SJPG0102987.001	sp|Q9Y2R9|RT07_HUMAN	28S ribosomal protein S7, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS7 PE=1 SV=2	MRPS7	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	4.55	3172303.43756512	1926413.63588229	3827194.61856107	4591285.37080164	3956203.35817891	4203342.82823146	3932762.86787902	3575543.84551424	1958536.40999276	2092833.59859341
SJPG0101059.001	sp|Q14738|2A5D_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens OX=9606 GN=PPP2R5D PE=1 SV=1	PPP2R5D	-	-	O	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.83	69517.3439083632	105923.391973606	72570.1325673983	51688.6765009703	58295.0089091692	55749.8090037454	72829.5901029952	69641.0261771494	100581.572305765	115628.852197709
SJPG0101942.001	sp|Q1KMD3|HNRL2_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1	HNRNPUL2	-	-	-	-	-	batch1	29	3	3	4.55	1591916.84511139	1926292.10696722	1963181.31115646	2197792.01943457	4202609.01337114	2188767.72317813	2250216.80610899	2197220.854066	2129674.21126168	1975940.16910502	batch2	26	3	3	4.55	1350161.40086529	1884589.80217407	4043719.60443422	3991570.60575297	1921181.24849804	3602411.78170392	2684777.91502161	3797817.05806667	1362180.46930859	1722048.68993217
SJPG0118082.001	sp|Q9UKK6|NXT1_HUMAN	NTF2-related export protein 1 OS=Homo sapiens OX=9606 GN=NXT1 PE=1 SV=1	NXT1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	10.71	44377.1699685893	27848.0643680864	40692.9827655039	39427.281402363	33448.9701897504	41055.1377923639	35303.6457523933	41666.3509570661	21917.6616998454	32236.5087287108
SJPG0104953.001	sp|Q68EM7|RHG17_HUMAN	Rho GTPase-activating protein 17 OS=Homo sapiens OX=9606 GN=ARHGAP17 PE=1 SV=1	ARHGAP17	-	-	-	-	-	batch1	2	2	0	6.58	174460.049546668	122251.167885966	118007.161848012	114141.187801736	138743.170562777	125756.874382	99918.5431501119	114781.576312583	129820.931203395	123845.310713462	batch2	4	2	0	6.58	160624.859681942	207820.591019672	144266.42283718	233344.125464209	183861.098999997	203513.960298075	171708.492804445	228611.855765613	178017.51603738	190784.884981617
SJPG0102932.001	sp|Q9NRS6|SNX15_HUMAN	Sorting nexin-15 OS=Homo sapiens OX=9606 GN=SNX15 PE=1 SV=1	SNX15	-	-	-	-	-	batch1	1	1	1	6.73	93741.6515101558	98244.5816393179	85210.5054517947	74995.9278433083	115084.993986574	107619.96865738	74735.744242715	79203.8153085555	89981.7565342442	93898.3951510552	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100759.001	sp|P49758|RGS6_HUMAN	Regulator of G-protein signaling 6 OS=Homo sapiens OX=9606 GN=RGS6 PE=1 SV=5	RGS6	-	-	-	-	-	batch1	1	1	0	1.48	7600110.18938432	5889518.37428816	3548611.83669093	4448216.04503385	7208013.70798431	4962460.95932408	3577046.27058298	4377611.17983223	3834878.24110496	4644302.07706851	batch2	2	1	0	1.48	1090465.41514054	782219.190283986	1001720.22807228	1096322.07003672	976539.126801956	1019912.04575277	836340.439915587	1010612.27140849	612383.411342358	759915.604571484
SJPG0111532.001	sp|Q9UHR4|BI2L1_HUMAN	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens OX=9606 GN=BAIAP2L1 PE=1 SV=2	BAIAP2L1	-	-	-	-	-	batch1	1	1	0	4.11	80941.3783394593	244324.695265095	243051.871250631	203685.188130242	61091.1781849004	226073.848641557	232034.569831964	195660.901981304	235195.303186853	215857.74556369	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0104659.001	sp|Q6PJT7|ZC3HE_HUMAN	Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1	ZC3H14	-	-	-	-	-	batch1	1	1	0	1.63	331909.948370346	385902.597761961	348223.931521233	431469.788508368	362195.254884191	426765.02908156	348518.022458292	371712.959413446	327964.771461627	385913.384936826	batch2	1	1	0	1.63	338711.287643945	365537.094535562	357465.046800956	378746.155713905	363798.876894013	319862.80837898	405089.316017611	395284.461019436	442249.746555973	389455.374141194
SJPG0104090.001	sp|Q7Z6Z7|HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3	HUWE1	-	-	O	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.57	151627.467548062	205691.09384088	171233.84938356	166315.939223096	161334.605757016	173401.59432233	156743.49799373	173461.378159583	209574.464037815	239134.537728123
SJPG0118663.001	sp|Q32P28|P3H1_HUMAN	Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2	P3H1	-	-	-	-	-	batch1	1	1	0	1.36	726812.478008655	652371.167686553	701887.016639964	667146.398398757	756563.027193549	670441.65689634	693010.631978989	570423.856392747	671943.101319862	642019.79127282	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0118941.001	sp|Q96JA3|PKHA8_HUMAN	Pleckstrin homology domain-containing family A member 8 OS=Homo sapiens OX=9606 GN=PLEKHA8 PE=1 SV=3	PLEKHA8	-	-	-	-	-	batch1	1	1	0	1.54	195490.291343599	306058.085617769	161088.351754299	265607.319133269	174479.998687554	276187.907365706	171338.212656007	268277.465603526	169960.343823936	246866.949243874	batch2	1	1	0	1.54	460127.464275009	420565.629251504	378186.822379231	330105.073597111	390801.732423917	358230.250139016	395641.026859453	331749.160691975	448765.518661254	408543.831943589
SJPG0108109.010	sp|Q9UIS9-11|MBD1_HUMAN	Isoform 11 of Methyl-CpG-binding domain protein 1 OS=Homo sapiens OX=9606 GN=MBD1	MBD1	-	-	-	-	-	batch1	1	1	0	5.98	51406.5328118326	38858.8925984908	40003.6323314384	37941.4808424967	56835.9705358554	40280.2222999648	39189.9500316384	36965.0609811527	41666.0247027856	37256.2937999958	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100865.001	sp|O15240|VGF_HUMAN	Neurosecretory protein VGF OS=Homo sapiens OX=9606 GN=VGF PE=1 SV=2	VGF	-	-	-	-	-	batch1	6	3	3	4.72	263452.2223524	70702.0539844845	54744.3730329886	71349.1470686634	133658.747618422	58436.0672071808	59583.167621201	64873.078892655	74920.4291665034	68193.2470142191	batch2	8	3	3	4.72	178402.713542397	51055.6688483163	176934.689205243	111076.710561915	172913.948760078	117743.895799655	210520.062692527	99375.2090533572	43348.0771598563	42732.0387852117
SJPG0116302.001	sp|O14686|KMT2D_HUMAN	Histone-lysine N-methyltransferase 2D OS=Homo sapiens OX=9606 GN=KMT2D PE=1 SV=2	KMT2D	-	-	-	-	O	batch1	1	1	0	0.20	112170.467668664	160138.831489249	127368.68686932	140850.971053721	94338.0103935226	130919.04631618	133190.813705776	128557.898799675	122632.120383964	114453.569102602	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100310.010	sp|O43852-10|CALU_HUMAN	Isoform 10 of Calumenin OS=Homo sapiens OX=9606 GN=CALU	CALU	-	-	-	-	-	batch1	11	1	0	9.82	1545033.72295604	533835.608062185	566552.595246325	572737.639771411	1727945.43774167	553753.558517135	562642.501964199	517942.031262199	664227.326158461	607230.262253797	batch2	20	2	0	9.82	2966917.41291462	1238835.75803032	3830890.24342454	2907972.00993706	3080870.56271278	3443132.59855163	2079894.33251712	3091465.4966788	1196483.68503216	1197451.3557477
SJPG0103348.002	tr|E9PIE3|E9PIE3_HUMAN	Caveolae-associated protein 3 OS=Homo sapiens OX=9606 GN=CAVIN3 PE=1 SV=1	CAVIN3	-	-	-	-	-	batch1	2	1	1	2.39	269267.833701359	298614.209391884	280786.500164457	231945.804898539	187538.774167022	250358.319700395	233596.150064058	288500.145390165	294982.268835909	232708.740849303	batch2	1	1	1	2.39	85508.8820787371	57275.7856182856	54230.1381666823	63521.8889650586	197451.283128984	86679.639142846	49414.8109364048	71983.263036624	81356.1909461647	54208.1280691652
SJPG0123442.001	tr|Q8WYV9|Q8WYV9_HUMAN	Uncharacterized protein pp14328 OS=Homo sapiens OX=9606 GN=pp14328 PE=2 SV=1	pp14328	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	10.81	111860.433454771	93272.4037689887	126588.455125571	96382.8954799706	96186.1067999823	126699.127111704	87679.3510874804	103541.922160071	126142.58677061	121773.765388412
SJPG0108393.001	sp|Q8TF65|GIPC2_HUMAN	PDZ domain-containing protein GIPC2 OS=Homo sapiens OX=9606 GN=GIPC2 PE=1 SV=1	GIPC2	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	2.86	516016.733431228	457990.860562399	435952.485188393	501624.380801845	431047.027220413	476241.9923319	420512.803873565	477649.195793606	467477.758914069	496461.824019029
SJPG0126918.001	tr|Q9P184|Q9P184_HUMAN	PRO2130 OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	batch1	1	1	1	9.35	939561.536880742	493321.55941168	693638.511283583	348219.264567455	1072348.09368879	523410.714646691	381038.769869799	329423.826583929	584822.903705582	560467.166149178	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0121555.002	tr|A2N8H6|A2N8H6_HUMAN	Ti antigen CD3-associated protein gamma chain V-J-C region OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	2.66	346027.253693126	269929.407670082	255772.525036791	238003.374181522	261289.992863813	253738.643989218	206375.00517701	219343.308706833	231253.454034783	255119.453678436
SJPG0109000.001	sp|Q9P2P6|STAR9_HUMAN	StAR-related lipid transfer protein 9 OS=Homo sapiens OX=9606 GN=STARD9 PE=1 SV=3	STARD9	-	-	-	-	-	batch1	2	1	1	0.15	1318335.07933397	331514.457375879	359721.920745153	220819.076258638	1403646.02005894	1923848.01316744	131123.210773734	326087.09882361	412198.277049398	1911467.53073972	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100831.001	sp|Q5JTV8|TOIP1_HUMAN	Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=2	TOR1AIP1	-	-	-	-	-	batch1	2	2	0	3.26	202098.063387061	173062.483426919	145301.947070238	160695.707423707	179173.995687047	177469.795425155	137810.178062387	162612.251443955	149614.963872076	186511.275606554	batch2	2	2	0	3.26	132816.001403451	122778.573273871	88934.5266217555	85343.1000935839	97171.8613537443	112890.148945401	92662.1077428398	89625.2906628193	105913.515660063	93158.4902459701
SJPG0102044.001	sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	HNRNPU	-	-	-	-	-	batch1	105	8	0	7.76	1544132.34115577	1178887.07549775	1272308.02296183	1128405.90157633	2040281.69864651	1419256.56215572	1235296.44596953	1237249.88855931	1413734.54985266	1675999.35756501	batch2	139	9	0	7.76	1487214.85921572	1286425.08592222	1481171.51027993	1905147.98461541	1576426.50852803	2066548.93370826	1352512.79675082	1830165.97915689	1244529.64997767	1321850.78247705
SJPG0108078.001	sp|Q9NVU7|SDA1_HUMAN	Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3	SDAD1	-	-	-	-	-	batch1	1	1	0	2.62	93376.3846876632	65048.5915464711	69909.4550766708	71390.1057627402	67668.7126380399	70324.6981523277	69984.8308934861	75513.6202306926	64998.6098263861	68700.0220862783	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0101640.001	sp|P78344|IF4G2_HUMAN	Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1	EIF4G2	-	-	-	-	-	batch1	4	2	0	1.65	225590.875488163	201980.776852282	210491.568025348	209429.089697233	203528.651040681	266851.675257576	194744.249110393	210786.497004469	191021.753308979	253438.520148498	batch2	5	2	0	1.65	286176.05527078	282302.009297072	231650.910839074	290091.083413958	264746.857215282	288865.422003088	259763.662509189	295577.348613163	353544.779170016	334011.55963541
SJPG0105444.001	sp|P16455|MGMT_HUMAN	Methylated-DNA--protein-cysteine methyltransferase OS=Homo sapiens OX=9606 GN=MGMT PE=1 SV=1	MGMT	-	-	O	-	-	batch1	1	1	0	6.28	90119.9761661022	94236.9173080589	136205.020879828	64000.0551289719	81724.6227687798	50626.0021996107	84176.3727886368	69719.9345014854	109457.928190984	43989.6498451813	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0101039.010	tr|D3DUW5|D3DUW5_HUMAN	Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=3 SV=1	DNM1L	-	-	-	-	-	batch1	6	2	0	1.65	628602.321125683	417132.606142929	388934.339085414	444813.972631414	489333.428180578	487222.418452701	385988.469794577	423717.556682212	441831.23001518	464389.84715209	batch2	5	1	0	1.65	575927.511086316	402812.229126223	390553.624237663	470083.273524014	479966.418487778	416032.391959252	524329.467737724	448778.249939673	512650.502519672	474043.53346506
SJPG0100873.002	sp|Q01105-2|SET_HUMAN	Isoform 2 of Protein SET OS=Homo sapiens OX=9606 GN=SET	SET	-	-	-	-	-	batch1	1	1	1	5.42	299547.316880652	141293.269631128	127216.863773047	114000.970828039	186658.153443811	131463.05045801	106548.097232209	115948.339076282	111318.067299079	119876.618485838	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0109435.001	sp|Q9Y623|MYH4_HUMAN	Myosin-4 OS=Homo sapiens OX=9606 GN=MYH4 PE=2 SV=2	MYH4	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	0.72	109023.550094699	144817.746095015	75342.5241162107	65429.1366049358	103902.416049977	39538.4920782545	85170.5055700435	59458.5071265494	45948.31426469	62214.5619503023
SJPG0115722.044	tr|A0A5C2GF12|A0A5C2GF12_HUMAN	IG c459_heavy_IGHV3-64_IGHD5-5_IGHJ6 (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	9.09	238669.795560149	354740.79196632	328517.904936101	344326.784208668	262034.33978023	333184.459482952	395155.58096461	323181.731548785	206959.887922319	247148.097412605
